Variable,Estimate,2.5%,97.5%
(Intercept),0.053,0.047,0.058
year2002,0.015,0.013,0.016
year2003,0.014,0.013,0.015
year2004,0.021,0.02,0.023
year2005,0.047,0.046,0.049
year2006,0.05,0.049,0.052
year2007,-0.013,-0.014,-0.012
year2008,-0.071,-0.072,-0.069
year2009,-0.131,-0.132,-0.13
year2010,-0.116,-0.117,-0.115
year2011,-0.09,-0.091,-0.089
year2012,-0.097,-0.098,-0.096
year2013,-0.029,-0.031,-0.028
year2014,0.005,0.004,0.006
year2015,-0.012,-0.013,-0.01
year2016,0.001,-0,0.002
year2017,-0.014,-0.016,-0.013
year2018,-0.003,-0.004,-0.002
year2019,-0.003,-0.004,-0.002
year2020,-0.006,-0.008,-0.005
year2021,0.055,0.054,0.057
year2022,0.082,0.081,0.083
year2023,0.015,0.014,0.016
year2024,-0.03,-0.031,-0.029
solar_manipulation-2,-0.001,-0.004,0.003
solar_manipulation-3,-0.001,-0.005,0.002
solar_manipulation-4,-0.002,-0.005,0.002
solar_manipulation-5,-0.003,-0.007,0.001
solar_manipulation1,0.004,0,0.007
solar_manipulation2,0.004,0,0.007
solar_manipulation3,0.006,0.003,0.01
solar_manipulation4,0.01,0.006,0.014
solar_manipulation5,0.009,0.005,0.013
solar_manipulationCensored,0.004,0.001,0.006
solar_manipulationConstruction,0.003,-0,0.006
solar_manipulationControl,0.006,0.001,0.011
turbine_manipulation-2,0,-0.006,0.007
turbine_manipulation-3,0,-0.006,0.007
turbine_manipulation-4,0.001,-0.006,0.007
turbine_manipulation-5,0.001,-0.006,0.008
turbine_manipulation1,-0.001,-0.007,0.004
turbine_manipulation2,-0.004,-0.01,0.002
turbine_manipulation3,-0,-0.006,0.006
turbine_manipulation4,0,-0.006,0.006
turbine_manipulation5,-0.003,-0.009,0.004
turbine_manipulationCensored,0.003,-0.002,0.008
turbine_manipulationConstruction,0.002,-0.003,0.007
